epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1267.54,1.3647,0.60898,1.25676,0.95052,0.9543,0.97381,0.54056,1.63561,0.61045,1.50068,0.000557,0.000557,0.000557
58,1289.04,1.37326,0.62336,1.2412,0.92472,0.96394,0.96333,0.54832,1.59246,0.60545,1.47493,0.000544625,0.000544625,0.000544625
59,1310.51,1.34536,0.61213,1.24008,0.94681,0.94506,0.96476,0.5559,1.58307,0.5677,1.48323,0.00053225,0.00053225,0.00053225
60,1331.69,1.38459,0.61143,1.2578,0.93575,0.94639,0.96454,0.53996,1.58436,0.58218,1.4834,0.000519875,0.000519875,0.000519875
61,1353.27,1.35875,0.61822,1.23264,0.95211,0.94344,0.96158,0.53017,1.60067,0.58889,1.4897,0.0005075,0.0005075,0.0005075
62,1374.73,1.35554,0.61402,1.24541,0.96574,0.93749,0.9671,0.53342,1.60492,0.57338,1.49551,0.000495125,0.000495125,0.000495125
63,1396.07,1.35461,0.60501,1.24845,0.96146,0.95083,0.96561,0.53959,1.62203,0.57678,1.49383,0.00048275,0.00048275,0.00048275
64,1417.27,1.33796,0.59836,1.24666,0.96559,0.94541,0.97424,0.54557,1.61725,0.57084,1.489,0.000470375,0.000470375,0.000470375
65,1438.8,1.3692,0.6189,1.2651,0.95812,0.95097,0.97608,0.53885,1.64875,0.57643,1.49137,0.000458,0.000458,0.000458
66,1460.13,1.34883,0.59488,1.23905,0.99809,0.94958,0.98581,0.55299,1.62897,0.57233,1.48065,0.000445625,0.000445625,0.000445625
67,1481.23,1.34383,0.58859,1.23102,0.95401,0.97826,0.98171,0.54845,1.59757,0.5523,1.46736,0.00043325,0.00043325,0.00043325
68,1502.37,1.32237,0.59015,1.23992,0.97377,0.96184,0.9824,0.54594,1.62055,0.54876,1.49547,0.000420875,0.000420875,0.000420875
69,1523.94,1.33177,0.59019,1.22777,0.96527,0.95097,0.96957,0.53981,1.63058,0.56733,1.50031,0.0004085,0.0004085,0.0004085
70,1545.41,1.32477,0.58397,1.22733,0.97039,0.9704,0.98158,0.55053,1.61452,0.55775,1.49578,0.000396125,0.000396125,0.000396125
71,1566.76,1.31157,0.56372,1.23482,0.96879,0.96184,0.98387,0.54536,1.61284,0.5669,1.49321,0.00038375,0.00038375,0.00038375
72,1588,1.27836,0.56401,1.19179,0.96932,0.9401,0.97762,0.558,1.58801,0.56024,1.4699,0.000371375,0.000371375,0.000371375
73,1609.64,1.32144,0.58348,1.22198,0.92686,0.95652,0.96903,0.55238,1.56892,0.55104,1.45922,0.000359,0.000359,0.000359
74,1630.82,1.33007,0.59182,1.24108,0.96641,0.9401,0.97925,0.53527,1.63946,0.55826,1.48719,0.000346625,0.000346625,0.000346625
75,1652.03,1.30337,0.56628,1.23095,0.96132,0.96184,0.98151,0.545,1.59697,0.55158,1.47583,0.00033425,0.00033425,0.00033425
76,1673.41,1.31492,0.5707,1.21505,0.9688,0.96184,0.98197,0.54665,1.58348,0.55017,1.47387,0.000321875,0.000321875,0.000321875
77,1694.7,1.33601,0.58727,1.24484,0.98019,0.96184,0.98542,0.55998,1.54798,0.53611,1.4568,0.0003095,0.0003095,0.0003095
78,1715.64,1.29343,0.56808,1.20388,0.97969,0.95653,0.9841,0.5621,1.55611,0.53785,1.46198,0.000297125,0.000297125,0.000297125
79,1736.84,1.28949,0.56854,1.22218,0.97564,0.95097,0.98364,0.556,1.58048,0.54026,1.47222,0.00028475,0.00028475,0.00028475
80,1758.3,1.29371,0.55889,1.21015,0.98698,0.9401,0.9826,0.5533,1.57706,0.53356,1.46413,0.000272375,0.000272375,0.000272375
81,1779.55,1.3005,0.57528,1.22113,0.93554,0.9865,0.98342,0.54707,1.59707,0.54421,1.48484,0.00026,0.00026,0.00026
82,1800.73,1.27542,0.56087,1.21724,0.9456,0.97376,0.98422,0.5404,1.61594,0.56379,1.49439,0.000247625,0.000247625,0.000247625
83,1822.06,1.24373,0.54503,1.18228,0.96408,0.95097,0.98212,0.54011,1.62618,0.56799,1.50577,0.00023525,0.00023525,0.00023525
84,1843.36,1.27052,0.55504,1.20276,0.96661,0.92923,0.97116,0.54637,1.61558,0.55983,1.4999,0.000222875,0.000222875,0.000222875
85,1864.68,1.28501,0.55381,1.20913,0.94512,0.96184,0.97989,0.53978,1.59856,0.55729,1.49225,0.0002105,0.0002105,0.0002105
86,1886.15,1.25359,0.54924,1.19367,0.97491,0.9401,0.9784,0.54448,1.57004,0.54099,1.47813,0.000198125,0.000198125,0.000198125
87,1907.52,1.24406,0.5375,1.20164,0.95551,0.95939,0.97897,0.54651,1.55845,0.53897,1.4748,0.00018575,0.00018575,0.00018575
88,1928.99,1.26412,0.54422,1.19574,0.95681,0.95097,0.9778,0.55506,1.57068,0.53152,1.4689,0.000173375,0.000173375,0.000173375
89,1950.36,1.26052,0.55426,1.20072,0.9755,0.95097,0.9822,0.56136,1.54797,0.52672,1.4652,0.000161,0.000161,0.000161
90,1971.77,1.23651,0.53611,1.20092,0.99252,0.9467,0.98323,0.55256,1.57955,0.5387,1.48526,0.000148625,0.000148625,0.000148625
91,1992.29,1.19775,0.47444,1.24966,0.99425,0.94867,0.98474,0.54554,1.58359,0.53769,1.49455,0.00013625,0.00013625,0.00013625
92,2012.48,1.2272,0.4717,1.25611,0.97871,0.93709,0.96562,0.528,1.59073,0.5386,1.49205,0.000123875,0.000123875,0.000123875
93,2032.51,1.21771,0.46883,1.25387,0.98405,0.95097,0.9836,0.53288,1.58465,0.53987,1.48294,0.0001115,0.0001115,0.0001115
94,2052.54,1.19529,0.47167,1.23467,0.97898,0.95928,0.98521,0.54816,1.55995,0.53667,1.46804,9.9125e-05,9.9125e-05,9.9125e-05
95,2072.73,1.18888,0.4578,1.24124,0.99577,0.95097,0.98514,0.54688,1.58714,0.53886,1.48322,8.675e-05,8.675e-05,8.675e-05
96,2092.77,1.18235,0.45867,1.2202,0.99692,0.94958,0.98514,0.54027,1.57445,0.53157,1.48246,7.4375e-05,7.4375e-05,7.4375e-05
97,2112.81,1.18767,0.45322,1.23912,0.98025,0.95979,0.98462,0.53937,1.5714,0.53415,1.47903,6.2e-05,6.2e-05,6.2e-05
98,2133.06,1.17451,0.44929,1.24551,0.98207,0.95282,0.98319,0.54183,1.58662,0.53885,1.48802,4.9625e-05,4.9625e-05,4.9625e-05
99,2153.26,1.17194,0.45182,1.23478,0.98244,0.95348,0.98354,0.54007,1.58628,0.54083,1.49082,3.725e-05,3.725e-05,3.725e-05
100,2173.45,1.19139,0.45302,1.23626,0.98193,0.95646,0.98333,0.54545,1.57899,0.54011,1.49064,2.4875e-05,2.4875e-05,2.4875e-05
